name,Latitude,Longitude
Madhav Nursing Home,28.6990967,76.99300758
Madhukar Rainbow Children's Hospital,28.52931325,77.20474803
Mahajan Hospital,28.7183028,77.1710383
MAHALAKSHMI HOSPITAL,28.6892732,77.2986283
Maharaja Agarsain Hospital (Charitable),28.69161514,77.16477938
Maharaja Agrasen Hospital,28.6740586,77.1340566
Maharaja Agrasen Hospital,28.71827052,77.0653941
Maharaja Agrasen Hospital,28.59370102,77.07848578
Maharishi Valmiki Disease Hospital,28.70452912,77.20307474
Maharishi Valmiki Hospital,28.775826,77.048597
Mahavir International Eye Hospital,28.6598583,77.2157522
Mahesh Hospital,28.6264544,77.3023362
Maheshwari Hospital,28.7122011,77.1419875
Mahindru Hospital,28.6206121,77.0495632
Majeedia Hospital,28.5148169,77.2518253
Makkar Multispeciality Hospital,28.641072,77.28240921
Malhotra Nursing Home,28.6197989,77.3039095
Malik Maternity Home and Surgical Centre,28.6154991,76.982911
Malik Nursing Home,28.6094473,77.3343703
Malik Radix,28.6353257,77.2881381
Manav Medicare Centre,28.5706874,77.2199599
Manchanda Hospital,28.4943675,77.1836992
Mangalam Hospital,28.6228832,77.2966806
Manipal Hospitals,28.5929199,77.0637613
"Manna Clinic & Maternity Home, Rani Bagh",28.6857157,77.1315855
Mansaram Hospital,28.6723615,77.0588003
Mantra Care,28.67868384,77.09861457
Marg Hospital,28.6997775,77.0513459
Mata Chanan Devi Hospital,28.618749,77.078224
Mata Chandana Devi Hospital,28.635321,77.0539739
Mata Roop Rani Maggo Hospital,28.6211011,77.0502551
Mata Sumitra Devi Hospital,28.5779214,77.0239288
Matrchaya Child Care,28.665228,77.08128
Maujiram Lions Eye Hospital,28.837695,77.1797456
Maulana Azad Institute of Dental Sciences,28.6371532,77.236999
Mavi Hospital,28.7134013,77.263533
Max Healthcare,28.72779487,77.15267516
MAX Hospital,28.52742029,77.21178344
Max Medcentre,28.5645418,77.2399229
Max Multi Speciality Centre,28.5434575,77.214298
"Max Multi Speciality Centre, Pitampura",28.6931702,77.1517793
Max Superspeciality Hospital,28.63326893,77.3091575
Mayur Medicare Center,28.6060579,77.2933797
MCD Dispensary,28.73659292,77.19780335
MCD Maternity Government Hospital,28.7113776,77.1176777
MCW Defence Colony,28.56766985,77.23401185
MCW Giri Nagar,28.540349,77.262854
MCW Hauz Khas,28.54322274,77.20326225
MCW Sewa Nagar,28.577053,77.226043
Medeor Hospital,28.5964391,77.0457328
Medeor Hospital,28.5374555,77.1810712
Medeor Hospital,28.59640863,77.0455139
Medha Hospital,28.7045697,77.1449278
Medstar Hospital,28.6590574,77.0907424
Mehra Hospital,28.6711074,77.1276492
Mehta Hospital,28.523344,77.2312921
Metro Hospital and Cancer Institute,28.63840818,77.29489967
Metro Hospital and Heart Institute,28.5647231,77.2437868
MGS Hospital,28.6739027,77.1346394
MH Haiderpur,28.7235001,77.1515703
MIND BRAIN & MENTAL HOSPITAL,28.6904216,77.2916753
Minimal Access Smart Surgery Hospital,28.54677774,77.24955432
MKW Hospital,28.6392919,77.119633
Mohan Eye Institute,28.6431266,77.1906871
Mohan Nursing Home & Hospital,28.702744,77.267766
Moolchand Khairati Ram Hospital,28.56660811,77.23552564
Mrs. Girdhar Lal Maternity Hospital,28.64329407,77.2244213
Muni Maya Ram Jain Hospital,28.700019,77.141187
Munshi Shiv Charan Sadar Lions Hospital,28.7285988,77.1671261
Muskan Hospital,28.6919851,77.2548371
Naman Hospital,28.85958,77.101773
Nanak Darbar Charitable Hospital,28.6520769,77.0615293
Narang Hospital,28.6460854,77.0980297
Narayani Hospital,28.6122422,76.9798637
National Hospital,28.507902,77.2494122
National Institute of TB and Respiratory Diseases,28.529118,77.1900425
Nature Care Hospital,28.7618377,77.1871469
Naturopathy Hospital,28.7272273,77.1431096
Navjeevan Hospital,28.6948742,77.1088735
Navjeevan Nursing Home,28.653289,77.2780809
Navjoyti Eye Centre,28.6435226,77.2424612
Nayati Sunder Lal Jain Hospital,28.69224663,77.18141598
Nazar Kanwar Surana Hospital,28.6752381,77.1907591
Nazar Kanwar Surana Hospital,28.67533467,77.19086208
NDMS Park,28.4851071,77.1938033
Neera Eye Centre,28.6424432,77.2427645
Neha Hospital,28.7196717,77.2658014
Neptune Hospital,28.5324257,77.2026545
Netrayatan Hospital,28.5299782,77.2451946
New Heera Hospital,28.6130081,76.9887306
New Rohini Hospital,28.6995752,77.0963422
NGO Lok Kalyan Samiti,28.629808,77.2387009
Nijhara Hospital,28.646316,77.165748
Nirmal Hospital,28.820678,77.173096
Nirmala Hospital,28.6312194,77.0015182
Nirvana Hospital,28.731172,77.1332663
North Delhi Nursing Home,28.696547,77.179557
Northern Railway Hospital,28.66216383,77.21995245
Nulife Multi Specialty Hospital,28.7008293,77.2086357
O.P. Memorial Hospital,28.6992105,77.0965459
Oncoplus Hospital,28.5697622,77.2267424
Orchid Hospital Maternity and Heart Centre,28.614656,77.0874447
Ortho Care Hospital,28.613246,76.991315
Orthoplus Hospital,28.6139007,76.976352
Orthostar Hospital,28.5083921,77.2314148
Panchsheel Hospital,28.7017,77.279607
Parivar Seva Clinic,28.65216719,77.29461428
Parivar Sewa Sansthan,28.5672773,77.2473565
Parmarth Mission Hospital,28.6810176,77.1979673
Parnami Orthopaedic Hospital,28.7136327,77.1734502
Paschim Vihar West,28.67852,77.0997686
Patel Hospital,28.6308656,77.2783314
Pearl Hospital,28.5959686,76.9916517
PGH Hospitals,28.636193,77.048981
PHC Ujjwa,28.5702527,76.9041305
Phoenix Hopsital,28.5500671,77.2440346
Prashant Nursing Home,28.7148991,77.1326764
Prem Chiktsa Kendra,28.5739982,77.1773627
Primary Health Centre,28.59148107,77.08181977
Primary Urban Health Centre Cum Maternity Home & Poly Clinic,28.513195,77.2652745
Pristyn Care Elantis,28.5650215,77.2477571
Pt. Madan Mohan Malviya Hospital,28.53550164,77.21385457
PUSHPANJAL hospital,28.6803024,77.085012
Pushpanjali Medical Centre,28.65400746,77.30900066
Pushpawati Singhania Hospital and Research Institute,28.53312,77.2254277
R G Hospitals,28.5540733,77.2440645
R. Nayyar Hospital,28.6203861,77.0431588
R.R.Hospital,28.6278418,77.0126848
Raj Poly Clinic Hospital,28.6989183,77.0530355
Raj Rani Hospital,28.6138358,77.3233982
Rajan Babu Tuberculosis Hospital,28.70200398,77.20113312
Rajiv Gandhi Cancer Institute and Research Center,28.71640563,77.11089518
Rajiv Gandhi Super Speciality Hospital,28.689695,77.31656855
Ram Lal Kundan Lal Orthopaedic Hospital,28.6179569,77.2866841
Ramakrishna Mission T.B.Clinic and Medical Centre,28.64589705,77.19604877
Rao Raghubir Hospital,28.6750507,77.0610089
Rao Tula Ram Memorial Hospital,28.59487639,76.91333007
Rashmi Hospital,28.7025469,77.1473691
Rathi Hospital,28.6514885,77.0315432
Ravi Nursing Home,28.6172493,77.0305823
Red Cross Hospital Society Mat. Welfare and Child Care Hospital,28.678117,77.3225828
RK Hospital,28.5034403,77.2480077
