Latitude,Longitude
28.6839327,77.2074394
28.6877663,77.2092153
28.6806098,77.208661
28.6854563,77.2080302
28.6814292,77.2087773
28.6820771,77.2089117
28.6830539,77.2087011
28.6868875,77.2087875
28.6871062,77.2088875
28.6856637,77.2081397
28.6835748,77.2081521
28.6849388,77.2077898
28.6866926,77.2086865
28.6864434,77.2084998
28.7215264,77.1766099
28.7208082,77.1745886
28.7212011,77.1742537
28.7210308,77.1743989
28.7206457,77.1747327
28.7205129,77.1748459
28.7204058,77.1749177
28.7215436,77.1756617
28.7207049,77.1756709
28.7213331,77.1763109
28.7209235,77.1756815
28.7205041,77.1750626
28.7210381,77.1758715
28.7202083,77.1746162
28.7215539,77.1753479
28.7200761,77.1747318
28.7206343,77.1752553
28.7213558,77.175522
28.7205198,77.1753882
28.7202918,77.1750422
28.7211962,77.1757242
28.7208403,77.1755553
28.721684,77.1752393
28.721162,77.1756816
28.7214475,77.1755167
28.7212322,77.1761607
28.7214265,77.176452
28.7213558,77.1767849
28.7218419,77.1751651
28.7205332,77.1745616
28.6923562,77.2139487
28.6922212,77.2143019
28.6924419,77.21373
28.720703,77.1753588
28.7218955,77.1751234
28.7216469,77.1758176
28.7211502,77.1760386
28.5959901,77.2599166
28.5957785,77.2600715
28.595601,77.2601754
28.595413,77.2603152
28.5948064,77.2603608
28.5946887,77.2603533
28.5945687,77.260465
28.5945295,77.2609424
28.5932851,77.2618932
28.593339,77.2616802
28.593304,77.2614661
28.5930068,77.2608015
28.5921834,77.2606796
28.5661341,77.1919785
28.6915827,77.2081681
28.6892386,77.2084114
28.6892799,77.2082747
28.6892337,77.2068692
28.6887566,77.2088924
28.6890674,77.2081406
28.6890566,77.208552
28.689187,77.208549
28.6903751,77.2074385
28.6889379,77.2081267
28.6915061,77.2079993
28.6892812,77.2080211
28.6912861,77.207886
28.6909562,77.2078417
28.6894927,77.2074185
28.6894327,77.206969
28.6910263,77.2077616
28.6899468,77.2072243
28.6886899,77.2094281
28.6891911,77.2082068
28.6891134,77.2079388
28.6893631,77.2073729
28.6907453,77.20774
28.6888973,77.20897
28.6905446,77.207645
28.6891579,77.2069626
28.6908164,77.2076487
28.6887727,77.2092987
28.6888122,77.2083922
28.6890917,77.208657
28.6906307,77.2075704
28.6894416,77.2072335
28.6901773,77.2073356
28.689542,77.2072768
28.6900564,77.2074104
28.6888244,77.2085212
28.6889264,77.2084914
28.6886894,77.2091842
28.6888716,77.2085972
28.6914195,77.2080769
28.6888742,77.2082397
